Word/Phrase,Effort Score,Hits,Grid Name,Actual Position X,Actual Position Y,XY,Path,Cell Type
hour,4.26,4,13d TIME telling the time words,685.71,324.0,"(2, 3)",01 CORE pg1 -> 01 CORE pg2 -> 13a TIME pg1 -> 13d TIME telling the time words,Regular
minute,4.26,4,13d TIME telling the time words,411.43,324.0,"(2, 2)",01 CORE pg1 -> 01 CORE pg2 -> 13a TIME pg1 -> 13d TIME telling the time words,Regular
hand,4.26,4,13d TIME telling the time words,960.0,324.0,"(2, 4)",01 CORE pg1 -> 01 CORE pg2 -> 13a TIME pg1 -> 13d TIME telling the time words,Regular
anti-clockwise,4.26,4,13d TIME telling the time words,960.0,108.0,"(1, 4)",01 CORE pg1 -> 01 CORE pg2 -> 13a TIME pg1 -> 13d TIME telling the time words,Regular
AM,4.26,4,13d TIME telling the time words,137.14,108.0,"(1, 1)",01 CORE pg1 -> 01 CORE pg2 -> 13a TIME pg1 -> 13d TIME telling the time words,Regular
watch,4.26,4,13d TIME telling the time words,411.43,108.0,"(1, 2)",01 CORE pg1 -> 01 CORE pg2 -> 13a TIME pg1 -> 13d TIME telling the time words,Regular
clockwise,4.26,4,13d TIME telling the time words,685.71,108.0,"(1, 3)",01 CORE pg1 -> 01 CORE pg2 -> 13a TIME pg1 -> 13d TIME telling the time words,Regular
midday,4.26,4,13d TIME telling the time words,685.71,108.0,"(1, 3)",01 CORE pg1 -> 01 CORE pg2 -> 13a TIME pg1 -> 13d TIME telling the time words,Regular
balloon,4.26,4,08f PLAY balloon expanded,137.14,756.0,"(4, 1)",01 CORE pg1 -> 08a PLAY activity index -> 08f PLAY balloon core -> 08f PLAY balloon expanded,Regular
it's,4.26,4,08f PLAY balloon expanded,960.0,324.0,"(2, 4)",01 CORE pg1 -> 08a PLAY activity index -> 08f PLAY balloon core -> 08f PLAY balloon expanded,Regular
I,4.26,4,08f PLAY balloon expanded,411.43,108.0,"(1, 2)",01 CORE pg1 -> 08a PLAY activity index -> 08f PLAY balloon core -> 08f PLAY balloon expanded,Regular
it's,4.26,4,08f PLAY balloon expanded,685.71,324.0,"(2, 3)",01 CORE pg1 -> 08a PLAY activity index -> 08f PLAY balloon core -> 08f PLAY balloon expanded,Regular
I,4.26,4,08f PLAY balloon expanded,960.0,108.0,"(1, 4)",01 CORE pg1 -> 08a PLAY activity index -> 08f PLAY balloon core -> 08f PLAY balloon expanded,Regular
your,4.26,4,08f PLAY balloon expanded,960.0,108.0,"(1, 4)",01 CORE pg1 -> 08a PLAY activity index -> 08f PLAY balloon core -> 08f PLAY balloon expanded,Regular
will,4.26,4,08f PLAY balloon expanded,137.14,324.0,"(2, 1)",01 CORE pg1 -> 08a PLAY activity index -> 08f PLAY balloon core -> 08f PLAY balloon expanded,Regular
I,4.26,4,08f PLAY balloon expanded,411.43,324.0,"(2, 2)",01 CORE pg1 -> 08a PLAY activity index -> 08f PLAY balloon core -> 08f PLAY balloon expanded,Regular
can,4.26,4,08f PLAY balloon expanded,137.14,108.0,"(1, 1)",01 CORE pg1 -> 08a PLAY activity index -> 08f PLAY balloon core -> 08f PLAY balloon expanded,Regular
my,4.26,4,08f PLAY balloon expanded,685.71,108.0,"(1, 3)",01 CORE pg1 -> 08a PLAY activity index -> 08f PLAY balloon core -> 08f PLAY balloon expanded,Regular
that's,4.26,4,08f PLAY balloon expanded,685.71,108.0,"(1, 3)",01 CORE pg1 -> 08a PLAY activity index -> 08f PLAY balloon core -> 08f PLAY balloon expanded,Regular
I,4.26,4,08f PLAY balloon expanded,137.14,108.0,"(1, 1)",01 CORE pg1 -> 08a PLAY activity index -> 08f PLAY balloon core -> 08f PLAY balloon expanded,Regular
little,4.26,4,08f PLAY balloon expanded,685.71,1188.0,"(6, 3)",01 CORE pg1 -> 08a PLAY activity index -> 08f PLAY balloon core -> 08f PLAY balloon expanded,Regular
tie,4.26,4,08f PLAY balloon expanded,411.43,756.0,"(4, 2)",01 CORE pg1 -> 08a PLAY activity index -> 08f PLAY balloon core -> 08f PLAY balloon expanded,Regular
let,4.26,4,08f PLAY balloon expanded,685.71,756.0,"(4, 3)",01 CORE pg1 -> 08a PLAY activity index -> 08f PLAY balloon core -> 08f PLAY balloon expanded,Regular
I,4.26,4,08f PLAY balloon expanded,411.43,108.0,"(1, 2)",01 CORE pg1 -> 08a PLAY activity index -> 08f PLAY balloon core -> 08f PLAY balloon expanded,Regular
catch,4.26,4,08f PLAY balloon expanded,411.43,972.0,"(5, 2)",01 CORE pg1 -> 08a PLAY activity index -> 08f PLAY balloon core -> 08f PLAY balloon expanded,Regular
fun,4.26,4,08f PLAY balloon expanded,137.14,1188.0,"(6, 1)",01 CORE pg1 -> 08a PLAY activity index -> 08f PLAY balloon core -> 08f PLAY balloon expanded,Regular
big,4.26,4,08f PLAY balloon expanded,411.43,1188.0,"(6, 2)",01 CORE pg1 -> 08a PLAY activity index -> 08f PLAY balloon core -> 08f PLAY balloon expanded,Regular
again,4.26,4,08f PLAY balloon expanded,685.71,972.0,"(5, 3)",01 CORE pg1 -> 08a PLAY activity index -> 08f PLAY balloon core -> 08f PLAY balloon expanded,Regular
up,4.26,4,08f PLAY balloon expanded,960.0,972.0,"(5, 4)",01 CORE pg1 -> 08a PLAY activity index -> 08f PLAY balloon core -> 08f PLAY balloon expanded,Regular
down,4.26,4,08f PLAY balloon expanded,960.0,1188.0,"(6, 4)",01 CORE pg1 -> 08a PLAY activity index -> 08f PLAY balloon core -> 08f PLAY balloon expanded,Regular
blow,4.26,4,08f PLAY balloon expanded,137.14,972.0,"(5, 1)",01 CORE pg1 -> 08a PLAY activity index -> 08f PLAY balloon core -> 08f PLAY balloon expanded,Regular
funny,6.26,6,16e SCHOOL Stories Template 4,411.43,756.0,"(4, 2)",01 CORE pg1 -> 01 CORE pg2 -> 16 SCHOOL Core Index pg1 -> 16e SCHOOL Stories Core -> 16e SCHOOL Stories Expanded -> 16e SCHOOL Stories Template 4,Regular
different,6.26,6,16e SCHOOL Stories Template 4,137.14,756.0,"(4, 1)",01 CORE pg1 -> 01 CORE pg2 -> 16 SCHOOL Core Index pg1 -> 16e SCHOOL Stories Core -> 16e SCHOOL Stories Expanded -> 16e SCHOOL Stories Template 4,Regular
again,6.26,6,16e SCHOOL Stories Template 4,137.14,972.0,"(5, 1)",01 CORE pg1 -> 01 CORE pg2 -> 16 SCHOOL Core Index pg1 -> 16e SCHOOL Stories Core -> 16e SCHOOL Stories Expanded -> 16e SCHOOL Stories Template 4,Regular
story,6.26,6,16e SCHOOL Stories Template 4,685.71,1188.0,"(6, 3)",01 CORE pg1 -> 01 CORE pg2 -> 16 SCHOOL Core Index pg1 -> 16e SCHOOL Stories Core -> 16e SCHOOL Stories Expanded -> 16e SCHOOL Stories Template 4,Regular
story,6.26,6,16e SCHOOL Stories Template 4,960.0,1188.0,"(6, 4)",01 CORE pg1 -> 01 CORE pg2 -> 16 SCHOOL Core Index pg1 -> 16e SCHOOL Stories Core -> 16e SCHOOL Stories Expanded -> 16e SCHOOL Stories Template 4,Regular
read,6.26,6,16e SCHOOL Stories Template 4,137.14,1188.0,"(6, 1)",01 CORE pg1 -> 01 CORE pg2 -> 16 SCHOOL Core Index pg1 -> 16e SCHOOL Stories Core -> 16e SCHOOL Stories Expanded -> 16e SCHOOL Stories Template 4,Regular
listen,6.26,6,16e SCHOOL Stories Template 4,411.43,1188.0,"(6, 2)",01 CORE pg1 -> 01 CORE pg2 -> 16 SCHOOL Core Index pg1 -> 16e SCHOOL Stories Core -> 16e SCHOOL Stories Expanded -> 16e SCHOOL Stories Template 4,Regular
choose,6.26,6,16e SCHOOL Stories Template 4,411.43,972.0,"(5, 2)",01 CORE pg1 -> 01 CORE pg2 -> 16 SCHOOL Core Index pg1 -> 16e SCHOOL Stories Core -> 16e SCHOOL Stories Expanded -> 16e SCHOOL Stories Template 4,Regular
turn,6.26,6,16e SCHOOL Stories Template 4,685.71,972.0,"(5, 3)",01 CORE pg1 -> 01 CORE pg2 -> 16 SCHOOL Core Index pg1 -> 16e SCHOOL Stories Core -> 16e SCHOOL Stories Expanded -> 16e SCHOOL Stories Template 4,Regular
look,6.26,6,16e SCHOOL Stories Template 4,960.0,972.0,"(5, 4)",01 CORE pg1 -> 01 CORE pg2 -> 16 SCHOOL Core Index pg1 -> 16e SCHOOL Stories Core -> 16e SCHOOL Stories Expanded -> 16e SCHOOL Stories Template 4,Regular
picture,6.26,6,16e SCHOOL Stories Template 4,960.0,756.0,"(4, 4)",01 CORE pg1 -> 01 CORE pg2 -> 16 SCHOOL Core Index pg1 -> 16e SCHOOL Stories Core -> 16e SCHOOL Stories Expanded -> 16e SCHOOL Stories Template 4,Regular
poorly,8.26,8,15k TOPICS Health TEEN,411.43,108.0,"(1, 2)",01 CORE pg1 -> 19 MAGIC WAND -> 19 MAGIC WAND access settings -> 00 Choose Version -> 00 Teen and adult vocabulary -> 01 CORE pg1 TEEN -> 15aa TOPICS index pg1 TEEN -> 15k TOPICS Health TEEN,Regular
sick,8.26,8,15k TOPICS Health TEEN,685.71,108.0,"(1, 3)",01 CORE pg1 -> 19 MAGIC WAND -> 19 MAGIC WAND access settings -> 00 Choose Version -> 00 Teen and adult vocabulary -> 01 CORE pg1 TEEN -> 15aa TOPICS index pg1 TEEN -> 15k TOPICS Health TEEN,Regular
health,8.26,8,15k TOPICS Health TEEN,137.14,108.0,"(1, 1)",01 CORE pg1 -> 19 MAGIC WAND -> 19 MAGIC WAND access settings -> 00 Choose Version -> 00 Teen and adult vocabulary -> 01 CORE pg1 TEEN -> 15aa TOPICS index pg1 TEEN -> 15k TOPICS Health TEEN,Regular
pain,8.26,8,15k TOPICS Health TEEN,960.0,108.0,"(1, 4)",01 CORE pg1 -> 19 MAGIC WAND -> 19 MAGIC WAND access settings -> 00 Choose Version -> 00 Teen and adult vocabulary -> 01 CORE pg1 TEEN -> 15aa TOPICS index pg1 TEEN -> 15k TOPICS Health TEEN,Regular
backache,8.26,8,15k TOPICS Health TEEN,685.71,108.0,"(1, 3)",01 CORE pg1 -> 19 MAGIC WAND -> 19 MAGIC WAND access settings -> 00 Choose Version -> 00 Teen and adult vocabulary -> 01 CORE pg1 TEEN -> 15aa TOPICS index pg1 TEEN -> 15k TOPICS Health TEEN,Regular
ache,8.26,8,15k TOPICS Health TEEN,137.14,108.0,"(1, 1)",01 CORE pg1 -> 19 MAGIC WAND -> 19 MAGIC WAND access settings -> 00 Choose Version -> 00 Teen and adult vocabulary -> 01 CORE pg1 TEEN -> 15aa TOPICS index pg1 TEEN -> 15k TOPICS Health TEEN,Regular
plaster,8.26,8,15k TOPICS Health TEEN,137.14,756.0,"(4, 1)",01 CORE pg1 -> 19 MAGIC WAND -> 19 MAGIC WAND access settings -> 00 Choose Version -> 00 Teen and adult vocabulary -> 01 CORE pg1 TEEN -> 15aa TOPICS index pg1 TEEN -> 15k TOPICS Health TEEN,Regular
vitamin,8.26,8,15k TOPICS Health TEEN,960.0,972.0,"(5, 4)",01 CORE pg1 -> 19 MAGIC WAND -> 19 MAGIC WAND access settings -> 00 Choose Version -> 00 Teen and adult vocabulary -> 01 CORE pg1 TEEN -> 15aa TOPICS index pg1 TEEN -> 15k TOPICS Health TEEN,Regular
medicine,8.26,8,15k TOPICS Health TEEN,137.14,972.0,"(5, 1)",01 CORE pg1 -> 19 MAGIC WAND -> 19 MAGIC WAND access settings -> 00 Choose Version -> 00 Teen and adult vocabulary -> 01 CORE pg1 TEEN -> 15aa TOPICS index pg1 TEEN -> 15k TOPICS Health TEEN,Regular
cast,8.26,8,15k TOPICS Health TEEN,685.71,756.0,"(4, 3)",01 CORE pg1 -> 19 MAGIC WAND -> 19 MAGIC WAND access settings -> 00 Choose Version -> 00 Teen and adult vocabulary -> 01 CORE pg1 TEEN -> 15aa TOPICS index pg1 TEEN -> 15k TOPICS Health TEEN,Regular
seizure,8.26,8,15k TOPICS Health TEEN,960.0,108.0,"(1, 4)",01 CORE pg1 -> 19 MAGIC WAND -> 19 MAGIC WAND access settings -> 00 Choose Version -> 00 Teen and adult vocabulary -> 01 CORE pg1 TEEN -> 15aa TOPICS index pg1 TEEN -> 15k TOPICS Health TEEN,Regular
tummy,8.26,8,15k TOPICS Health TEEN,411.43,108.0,"(1, 2)",01 CORE pg1 -> 19 MAGIC WAND -> 19 MAGIC WAND access settings -> 00 Choose Version -> 00 Teen and adult vocabulary -> 01 CORE pg1 TEEN -> 15aa TOPICS index pg1 TEEN -> 15k TOPICS Health TEEN,Regular
PEG,8.26,8,15k TOPICS Health TEEN,960.0,756.0,"(4, 4)",01 CORE pg1 -> 19 MAGIC WAND -> 19 MAGIC WAND access settings -> 00 Choose Version -> 00 Teen and adult vocabulary -> 01 CORE pg1 TEEN -> 15aa TOPICS index pg1 TEEN -> 15k TOPICS Health TEEN,Regular
tablet,8.26,8,15k TOPICS Health TEEN,685.71,972.0,"(5, 3)",01 CORE pg1 -> 19 MAGIC WAND -> 19 MAGIC WAND access settings -> 00 Choose Version -> 00 Teen and adult vocabulary -> 01 CORE pg1 TEEN -> 15aa TOPICS index pg1 TEEN -> 15k TOPICS Health TEEN,Regular
fever,8.26,8,15k TOPICS Health TEEN,960.0,540.0,"(3, 4)",01 CORE pg1 -> 19 MAGIC WAND -> 19 MAGIC WAND access settings -> 00 Choose Version -> 00 Teen and adult vocabulary -> 01 CORE pg1 TEEN -> 15aa TOPICS index pg1 TEEN -> 15k TOPICS Health TEEN,Regular
cream,8.26,8,15k TOPICS Health TEEN,411.43,972.0,"(5, 2)",01 CORE pg1 -> 19 MAGIC WAND -> 19 MAGIC WAND access settings -> 00 Choose Version -> 00 Teen and adult vocabulary -> 01 CORE pg1 TEEN -> 15aa TOPICS index pg1 TEEN -> 15k TOPICS Health TEEN,Regular
bandage,8.26,8,15k TOPICS Health TEEN,411.43,756.0,"(4, 2)",01 CORE pg1 -> 19 MAGIC WAND -> 19 MAGIC WAND access settings -> 00 Choose Version -> 00 Teen and adult vocabulary -> 01 CORE pg1 TEEN -> 15aa TOPICS index pg1 TEEN -> 15k TOPICS Health TEEN,Regular
toothache,8.26,8,15k TOPICS Health TEEN,411.43,324.0,"(2, 2)",01 CORE pg1 -> 19 MAGIC WAND -> 19 MAGIC WAND access settings -> 00 Choose Version -> 00 Teen and adult vocabulary -> 01 CORE pg1 TEEN -> 15aa TOPICS index pg1 TEEN -> 15k TOPICS Health TEEN,Regular
headache,8.26,8,15k TOPICS Health TEEN,137.14,324.0,"(2, 1)",01 CORE pg1 -> 19 MAGIC WAND -> 19 MAGIC WAND access settings -> 00 Choose Version -> 00 Teen and adult vocabulary -> 01 CORE pg1 TEEN -> 15aa TOPICS index pg1 TEEN -> 15k TOPICS Health TEEN,Regular
allergy,8.26,8,15k TOPICS Health TEEN,960.0,324.0,"(2, 4)",01 CORE pg1 -> 19 MAGIC WAND -> 19 MAGIC WAND access settings -> 00 Choose Version -> 00 Teen and adult vocabulary -> 01 CORE pg1 TEEN -> 15aa TOPICS index pg1 TEEN -> 15k TOPICS Health TEEN,Regular
temperature,8.26,8,15k TOPICS Health TEEN,137.14,540.0,"(3, 1)",01 CORE pg1 -> 19 MAGIC WAND -> 19 MAGIC WAND access settings -> 00 Choose Version -> 00 Teen and adult vocabulary -> 01 CORE pg1 TEEN -> 15aa TOPICS index pg1 TEEN -> 15k TOPICS Health TEEN,Regular
flu,8.26,8,15k TOPICS Health TEEN,685.71,324.0,"(2, 3)",01 CORE pg1 -> 19 MAGIC WAND -> 19 MAGIC WAND access settings -> 00 Choose Version -> 00 Teen and adult vocabulary -> 01 CORE pg1 TEEN -> 15aa TOPICS index pg1 TEEN -> 15k TOPICS Health TEEN,Regular
thermometer,8.26,8,15k TOPICS Health TEEN,411.43,540.0,"(3, 2)",01 CORE pg1 -> 19 MAGIC WAND -> 19 MAGIC WAND access settings -> 00 Choose Version -> 00 Teen and adult vocabulary -> 01 CORE pg1 TEEN -> 15aa TOPICS index pg1 TEEN -> 15k TOPICS Health TEEN,Regular
cold,8.26,8,15k TOPICS Health TEEN,685.71,540.0,"(3, 3)",01 CORE pg1 -> 19 MAGIC WAND -> 19 MAGIC WAND access settings -> 00 Choose Version -> 00 Teen and adult vocabulary -> 01 CORE pg1 TEEN -> 15aa TOPICS index pg1 TEEN -> 15k TOPICS Health TEEN,Regular
couple,9.26,9,15 TOPICS relationships TEEN,685.71,108.0,"(1, 3)",01 CORE pg1 -> 19 MAGIC WAND -> 19 MAGIC WAND access settings -> 00 Choose Version -> 00 Teen and adult vocabulary -> 01 CORE pg1 TEEN -> 15aa TOPICS index pg1 TEEN -> 15aa TOPICS index pg2 TEEN -> 15 TOPICS relationships TEEN,Regular
partner,9.26,9,15 TOPICS relationships TEEN,960.0,108.0,"(1, 4)",01 CORE pg1 -> 19 MAGIC WAND -> 19 MAGIC WAND access settings -> 00 Choose Version -> 00 Teen and adult vocabulary -> 01 CORE pg1 TEEN -> 15aa TOPICS index pg1 TEEN -> 15aa TOPICS index pg2 TEEN -> 15 TOPICS relationships TEEN,Regular
single,9.26,9,15 TOPICS relationships TEEN,411.43,108.0,"(1, 2)",01 CORE pg1 -> 19 MAGIC WAND -> 19 MAGIC WAND access settings -> 00 Choose Version -> 00 Teen and adult vocabulary -> 01 CORE pg1 TEEN -> 15aa TOPICS index pg1 TEEN -> 15aa TOPICS index pg2 TEEN -> 15 TOPICS relationships TEEN,Regular
relationship,9.26,9,15 TOPICS relationships TEEN,137.14,108.0,"(1, 1)",01 CORE pg1 -> 19 MAGIC WAND -> 19 MAGIC WAND access settings -> 00 Choose Version -> 00 Teen and adult vocabulary -> 01 CORE pg1 TEEN -> 15aa TOPICS index pg1 TEEN -> 15aa TOPICS index pg2 TEEN -> 15 TOPICS relationships TEEN,Regular
crush,9.26,9,15 TOPICS relationships TEEN,137.14,324.0,"(2, 1)",01 CORE pg1 -> 19 MAGIC WAND -> 19 MAGIC WAND access settings -> 00 Choose Version -> 00 Teen and adult vocabulary -> 01 CORE pg1 TEEN -> 15aa TOPICS index pg1 TEEN -> 15aa TOPICS index pg2 TEEN -> 15 TOPICS relationships TEEN,Regular
break,9.26,9,15 TOPICS relationships TEEN,137.14,756.0,"(4, 1)",01 CORE pg1 -> 19 MAGIC WAND -> 19 MAGIC WAND access settings -> 00 Choose Version -> 00 Teen and adult vocabulary -> 01 CORE pg1 TEEN -> 15aa TOPICS index pg1 TEEN -> 15aa TOPICS index pg2 TEEN -> 15 TOPICS relationships TEEN,Regular
divorce,9.26,9,15 TOPICS relationships TEEN,411.43,756.0,"(4, 2)",01 CORE pg1 -> 19 MAGIC WAND -> 19 MAGIC WAND access settings -> 00 Choose Version -> 00 Teen and adult vocabulary -> 01 CORE pg1 TEEN -> 15aa TOPICS index pg1 TEEN -> 15aa TOPICS index pg2 TEEN -> 15 TOPICS relationships TEEN,Regular
husband,9.26,9,15 TOPICS relationships TEEN,960.0,108.0,"(1, 4)",01 CORE pg1 -> 19 MAGIC WAND -> 19 MAGIC WAND access settings -> 00 Choose Version -> 00 Teen and adult vocabulary -> 01 CORE pg1 TEEN -> 15aa TOPICS index pg1 TEEN -> 15aa TOPICS index pg2 TEEN -> 15 TOPICS relationships TEEN,Regular
girlfriend,9.26,9,15 TOPICS relationships TEEN,137.14,108.0,"(1, 1)",01 CORE pg1 -> 19 MAGIC WAND -> 19 MAGIC WAND access settings -> 00 Choose Version -> 00 Teen and adult vocabulary -> 01 CORE pg1 TEEN -> 15aa TOPICS index pg1 TEEN -> 15aa TOPICS index pg2 TEEN -> 15 TOPICS relationships TEEN,Regular
boyfriend,9.26,9,15 TOPICS relationships TEEN,411.43,108.0,"(1, 2)",01 CORE pg1 -> 19 MAGIC WAND -> 19 MAGIC WAND access settings -> 00 Choose Version -> 00 Teen and adult vocabulary -> 01 CORE pg1 TEEN -> 15aa TOPICS index pg1 TEEN -> 15aa TOPICS index pg2 TEEN -> 15 TOPICS relationships TEEN,Regular
wife,9.26,9,15 TOPICS relationships TEEN,685.71,108.0,"(1, 3)",01 CORE pg1 -> 19 MAGIC WAND -> 19 MAGIC WAND access settings -> 00 Choose Version -> 00 Teen and adult vocabulary -> 01 CORE pg1 TEEN -> 15aa TOPICS index pg1 TEEN -> 15aa TOPICS index pg2 TEEN -> 15 TOPICS relationships TEEN,Regular
long,9.26,9,15 TOPICS relationships TEEN,960.0,324.0,"(2, 4)",01 CORE pg1 -> 19 MAGIC WAND -> 19 MAGIC WAND access settings -> 00 Choose Version -> 00 Teen and adult vocabulary -> 01 CORE pg1 TEEN -> 15aa TOPICS index pg1 TEEN -> 15aa TOPICS index pg2 TEEN -> 15 TOPICS relationships TEEN,Regular
love,9.26,9,15 TOPICS relationships TEEN,685.71,324.0,"(2, 3)",01 CORE pg1 -> 19 MAGIC WAND -> 19 MAGIC WAND access settings -> 00 Choose Version -> 00 Teen and adult vocabulary -> 01 CORE pg1 TEEN -> 15aa TOPICS index pg1 TEEN -> 15aa TOPICS index pg2 TEEN -> 15 TOPICS relationships TEEN,Regular
marriage,9.26,9,15 TOPICS relationships TEEN,137.14,540.0,"(3, 1)",01 CORE pg1 -> 19 MAGIC WAND -> 19 MAGIC WAND access settings -> 00 Choose Version -> 00 Teen and adult vocabulary -> 01 CORE pg1 TEEN -> 15aa TOPICS index pg1 TEEN -> 15aa TOPICS index pg2 TEEN -> 15 TOPICS relationships TEEN,Regular
date,9.26,9,15 TOPICS relationships TEEN,411.43,324.0,"(2, 2)",01 CORE pg1 -> 19 MAGIC WAND -> 19 MAGIC WAND access settings -> 00 Choose Version -> 00 Teen and adult vocabulary -> 01 CORE pg1 TEEN -> 15aa TOPICS index pg1 TEEN -> 15aa TOPICS index pg2 TEEN -> 15 TOPICS relationships TEEN,Regular
civil,9.26,9,15 TOPICS relationships TEEN,411.43,540.0,"(3, 2)",01 CORE pg1 -> 19 MAGIC WAND -> 19 MAGIC WAND access settings -> 00 Choose Version -> 00 Teen and adult vocabulary -> 01 CORE pg1 TEEN -> 15aa TOPICS index pg1 TEEN -> 15aa TOPICS index pg2 TEEN -> 15 TOPICS relationships TEEN,Regular
engaged,9.26,9,15 TOPICS relationships TEEN,685.71,540.0,"(3, 3)",01 CORE pg1 -> 19 MAGIC WAND -> 19 MAGIC WAND access settings -> 00 Choose Version -> 00 Teen and adult vocabulary -> 01 CORE pg1 TEEN -> 15aa TOPICS index pg1 TEEN -> 15aa TOPICS index pg2 TEEN -> 15 TOPICS relationships TEEN,Regular
proposal,9.26,9,15 TOPICS relationships TEEN,960.0,540.0,"(3, 4)",01 CORE pg1 -> 19 MAGIC WAND -> 19 MAGIC WAND access settings -> 00 Choose Version -> 00 Teen and adult vocabulary -> 01 CORE pg1 TEEN -> 15aa TOPICS index pg1 TEEN -> 15aa TOPICS index pg2 TEEN -> 15 TOPICS relationships TEEN,Regular
affair,9.26,9,15 TOPICS relationships TEEN,960.0,756.0,"(4, 4)",01 CORE pg1 -> 19 MAGIC WAND -> 19 MAGIC WAND access settings -> 00 Choose Version -> 00 Teen and adult vocabulary -> 01 CORE pg1 TEEN -> 15aa TOPICS index pg1 TEEN -> 15aa TOPICS index pg2 TEEN -> 15 TOPICS relationships TEEN,Regular
separated,9.26,9,15 TOPICS relationships TEEN,685.71,756.0,"(4, 3)",01 CORE pg1 -> 19 MAGIC WAND -> 19 MAGIC WAND access settings -> 00 Choose Version -> 00 Teen and adult vocabulary -> 01 CORE pg1 TEEN -> 15aa TOPICS index pg1 TEEN -> 15aa TOPICS index pg2 TEEN -> 15 TOPICS relationships TEEN,Regular
lesbian,9.26,9,15 TOPICS relationships TEEN,685.71,972.0,"(5, 3)",01 CORE pg1 -> 19 MAGIC WAND -> 19 MAGIC WAND access settings -> 00 Choose Version -> 00 Teen and adult vocabulary -> 01 CORE pg1 TEEN -> 15aa TOPICS index pg1 TEEN -> 15aa TOPICS index pg2 TEEN -> 15 TOPICS relationships TEEN,Regular
same,9.26,9,15 TOPICS relationships TEEN,960.0,972.0,"(5, 4)",01 CORE pg1 -> 19 MAGIC WAND -> 19 MAGIC WAND access settings -> 00 Choose Version -> 00 Teen and adult vocabulary -> 01 CORE pg1 TEEN -> 15aa TOPICS index pg1 TEEN -> 15aa TOPICS index pg2 TEEN -> 15 TOPICS relationships TEEN,Regular
gay,9.26,9,15 TOPICS relationships TEEN,411.43,972.0,"(5, 2)",01 CORE pg1 -> 19 MAGIC WAND -> 19 MAGIC WAND access settings -> 00 Choose Version -> 00 Teen and adult vocabulary -> 01 CORE pg1 TEEN -> 15aa TOPICS index pg1 TEEN -> 15aa TOPICS index pg2 TEEN -> 15 TOPICS relationships TEEN,Regular
